id,sentence,tokens,labels
534,Bị huyết áp cao có ăn tôm được không?,Bị huyết_áp_cao có ăn tôm được không ?,O B-DISEASE O O B-FOOD O O O
535,Bị gout có ăn thịt bò được không?,Bị gout có ăn thịt_bò được không ?,O B-DISEASE O O B-FOOD O O O
536,Bị gout có ăn thịt heo được không?,Bị gout có ăn thịt_heo được không ?,O B-DISEASE O O B-FOOD O O O
537,Người dạ dày ăn gạo lứt thay cơm trắng được không?,Người dạ_dày ăn gạo_lứt thay cơm_trắng được không ?,O B-DISEASE O B-FOOD O B-FOOD O O O
538,Người huyết áp cao ăn gạo lứt thay cơm trắng được không?,Người huyết_áp_cao ăn gạo_lứt thay cơm_trắng được không ?,O B-DISEASE O B-FOOD O B-FOOD O O O
539,Người tiểu đường ăn cá ba sa thay cơm trắng được không?,Người tiểu_đường ăn cá_ba_sa thay cơm_trắng được không ?,O B-DISEASE O B-FOOD O B-FOOD O O O
540,Người tiểu đường ăn hạt điều thay cơm trắng được không?,Người tiểu_đường ăn hạt_điều thay cơm_trắng được không ?,O B-DISEASE O B-FOOD O B-FOOD O O O
541,Người tiểu đường ăn gạo lứt thay thịt heo được không?,Người tiểu_đường ăn gạo_lứt thay thịt_heo được không ?,O B-DISEASE O B-FOOD O B-FOOD O O O
542,Người tiểu đường ăn gạo lứt thay đậu phụ được không?,Người tiểu_đường ăn gạo_lứt thay đậu_phụ được không ?,O B-DISEASE O B-FOOD O B-FOOD O O O
543,Bị huyết áp cao nên ăn gì?,Bị huyết_áp_cao nên ăn gì ?,O B-DISEASE O O O O
544,Bị dạ dày nên ăn gì?,Bị dạ_dày nên ăn gì ?,O B-DISEASE O O O O
545,Dạ dày nên bổ sung gì?,dạ_dày nên bổ_sung gì ?,B-DISEASE O O O O
546,Huyết áp cao nên bổ sung gì?,huyết_áp_cao nên bổ_sung gì ?,B-DISEASE O O O O
547,Người bị béo phì nên ăn gì?,Người bị béo_phì nên ăn gì ?,O O B-DISEASE O O O O
548,Người bị ung thư nên ăn gì?,Người bị ung_thư nên ăn gì ?,O O B-DISEASE O O O O
549,Bệnh tim mạch nên tránh ăn gì?,Bệnh tim_mạch nên tránh ăn gì ?,O B-DISEASE O O O O O
550,Bệnh loãng xương nên tránh ăn gì?,Bệnh loãng_xương nên tránh ăn gì ?,O B-DISEASE O O O O O
551,Cholesterol cao cần bổ sung thực phẩm gì?,cholesterol_cao cần bổ_sung thực_phẩm gì ?,B-DISEASE O O O O O
552,Dạ dày cần bổ sung thực phẩm gì?,dạ_dày cần bổ_sung thực_phẩm gì ?,B-DISEASE O O O O O
553,Bị béo phì nên ăn chuối không?,Bị béo_phì nên ăn chuối không ?,O B-DISEASE O O B-FOOD O O
554,Bị gan nhiễm mỡ nên ăn chuối không?,Bị gan_nhiễm_mỡ nên ăn chuối không ?,O B-DISEASE O O B-FOOD O O
555,Bị huyết áp cao nên ăn cà rốt không?,Bị huyết_áp_cao nên ăn cà_rốt không ?,O B-DISEASE O O B-FOOD O O
556,Bị huyết áp cao nên ăn bơ không?,Bị huyết_áp_cao nên ăn bơ không ?,O B-DISEASE O O B-FOOD O O
557,Người bị loãng xương có uống nước mía được không?,Người bị loãng_xương có uống nước_mía được không ?,O O B-DISEASE O O B-FOOD O O O
558,Người bị dạ dày có uống nước mía được không?,Người bị dạ_dày có uống nước_mía được không ?,O O B-DISEASE O O B-FOOD O O O
559,Người bị tiểu đường có uống rau chân vịt được không?,Người bị tiểu_đường có uống rau_chân_vịt được không ?,O O B-DISEASE O O B-FOOD O O O
560,Người bị tiểu đường có uống cá thu được không?,Người bị tiểu_đường có uống cá_thu được không ?,O O B-DISEASE O O B-FOOD O O O
561,Bị dạ dày nên hạn chế ăn thịt bò không?,Bị dạ_dày nên hạn_chế ăn thịt_bò không ?,O B-DISEASE O O O B-FOOD O O
562,Bị huyết áp cao nên hạn chế ăn thịt bò không?,Bị huyết_áp_cao nên hạn_chế ăn thịt_bò không ?,O B-DISEASE O O O B-FOOD O O
563,Bị gout nên hạn chế ăn yến mạch không?,Bị gout nên hạn_chế ăn yến_mạch không ?,O B-DISEASE O O O B-FOOD O O
564,Bị gout nên hạn chế ăn trứng gà không?,Bị gout nên hạn_chế ăn trứng_gà không ?,O B-DISEASE O O O B-FOOD O O
565,Người bị loãng xương nên ăn cá hồi không?,Người bị loãng_xương nên ăn cá_hồi không ?,O O B-DISEASE O O B-FOOD O O
566,Người bị tiểu đường nên ăn cá hồi không?,Người bị tiểu_đường nên ăn cá_hồi không ?,O O B-DISEASE O O B-FOOD O O
567,Người bị cholesterol cao nên ăn đậu xanh không?,Người bị cholesterol_cao nên ăn đậu_xanh không ?,O O B-DISEASE O O B-FOOD O O
568,Người bị cholesterol cao nên ăn hạt điều không?,Người bị cholesterol_cao nên ăn hạt_điều không ?,O O B-DISEASE O O B-FOOD O O
569,Cholesterol cao tuýp 2 có ăn trái cây không?,cholesterol_cao tuýp_2 có ăn trái_cây không ?,B-DISEASE O O O O O O
570,Ung thư tuýp 2 có ăn trái cây không?,ung_thư tuýp_2 có ăn trái_cây không ?,B-DISEASE O O O O O O
571,Bị cholesterol cao nên ăn thực phẩm giàu canxi nào?,Bị cholesterol_cao nên ăn thực_phẩm giàu canxi nào ?,O B-DISEASE O O O O B-NUTRIENT O O
572,Bị tiểu đường nên ăn thực phẩm giàu canxi nào?,Bị tiểu_đường nên ăn thực_phẩm giàu canxi nào ?,O B-DISEASE O O O O B-NUTRIENT O O
573,Bị loãng xương nên ăn thực phẩm giàu sắt nào?,Bị loãng_xương nên ăn thực_phẩm giàu sắt nào ?,O B-DISEASE O O O O B-NUTRIENT O O
574,Bị loãng xương nên ăn thực phẩm giàu folate nào?,Bị loãng_xương nên ăn thực_phẩm giàu folate nào ?,O B-DISEASE O O O O B-NUTRIENT O O
575,Người bị tiểu đường nên ăn cá thay thịt không?,Người bị tiểu_đường nên ăn cá thay thịt không ?,O O B-DISEASE O O B-FOOD O B-FOOD O O
576,Người bị cholesterol cao nên ăn cá thay thịt không?,Người bị cholesterol_cao nên ăn cá thay thịt không ?,O O B-DISEASE O O B-FOOD O B-FOOD O O
577,Người bị tim mạch nên ăn thịt bò thay thịt không?,Người bị tim_mạch nên ăn thịt_bò thay thịt không ?,O O B-DISEASE O O B-FOOD O B-FOOD O O
578,Người bị tim mạch nên ăn rau chân vịt thay thịt không?,Người bị tim_mạch nên ăn rau_chân_vịt thay thịt không ?,O O B-DISEASE O O B-FOOD O B-FOOD O O
579,Người bị tim mạch nên ăn cá thay cá hồi không?,Người bị tim_mạch nên ăn cá thay cá_hồi không ?,O O B-DISEASE O O B-FOOD O B-FOOD O O
580,Người bị tim mạch nên ăn cá thay hạt hạnh nhân không?,Người bị tim_mạch nên ăn cá thay hạt_hạnh_nhân không ?,O O B-DISEASE O O B-FOOD O B-FOOD O O
581,Bị loãng xương có nên ăn khoai lang không?,Bị loãng_xương có nên ăn khoai_lang không ?,O B-DISEASE O O O B-FOOD O O
582,Bị gout có nên ăn khoai lang không?,Bị gout có nên ăn khoai_lang không ?,O B-DISEASE O O O B-FOOD O O
583,Bị béo phì có nên ăn óc chó không?,Bị béo_phì có nên ăn óc_chó không ?,O B-DISEASE O O O B-FOOD O O
584,Bị béo phì có nên ăn yến mạch không?,Bị béo_phì có nên ăn yến_mạch không ?,O B-DISEASE O O O B-FOOD O O
585,Người bị béo phì có ăn cà chua không?,Người bị béo_phì có ăn cà_chua không ?,O O B-DISEASE O O B-FOOD O O
586,Người bị thiếu máu có ăn cà chua không?,Người bị thiếu_máu có ăn cà_chua không ?,O O B-DISEASE O O B-FOOD O O
587,Người bị dạ dày có ăn khoai lang không?,Người bị dạ_dày có ăn khoai_lang không ?,O O B-DISEASE O O B-FOOD O O
588,Người bị dạ dày có ăn hạt điều không?,Người bị dạ_dày có ăn hạt_điều không ?,O O B-DISEASE O O B-FOOD O O
589,Huyết áp cao kiêng ăn hải sản không?,huyết_áp_cao kiêng ăn hải_sản không ?,B-DISEASE O O B-FOOD O O
590,Ung thư kiêng ăn hải sản không?,ung_thư kiêng ăn hải_sản không ?,B-DISEASE O O B-FOOD O O
591,Gout kiêng ăn hạt điều không?,Gout kiêng ăn hạt_điều không ?,B-DISEASE O O B-FOOD O O
592,Gout kiêng ăn tôm không?,Gout kiêng ăn tôm không ?,B-DISEASE O O B-FOOD O O
593,Bị cholesterol cao nên ăn thực phẩm giàu sắt nào?,Bị cholesterol_cao nên ăn thực_phẩm giàu sắt nào ?,O B-DISEASE O O O O B-NUTRIENT O O
594,Bị dạ dày nên ăn thực phẩm giàu sắt nào?,Bị dạ_dày nên ăn thực_phẩm giàu sắt nào ?,O B-DISEASE O O O O B-NUTRIENT O O
595,Bị thiếu máu nên ăn thực phẩm giàu vitamin B12 nào?,Bị thiếu_máu nên ăn thực_phẩm giàu vitamin_B12 nào ?,O B-DISEASE O O O O B-NUTRIENT O O
596,Bị thiếu máu nên ăn thực phẩm giàu chất xơ nào?,Bị thiếu_máu nên ăn thực_phẩm giàu chất_xơ nào ?,O B-DISEASE O O O O B-NUTRIENT O O
597,Người bị cholesterol cao có ăn thịt được không?,Người bị cholesterol_cao có ăn thịt được không ?,O O B-DISEASE O O O O O O
598,Người bị gout có ăn thịt được không?,Người bị gout có ăn thịt được không ?,O O B-DISEASE O O O O O O
599,Gout nên ăn ít muối không?,gout nên ăn ít muối không ?,B-DISEASE O O O O O O
600,Loãng xương nên ăn ít muối không?,loãng_xương nên ăn ít muối không ?,B-DISEASE O O O O O O
601,Bị loãng xương nên ăn rau muống không?,Bị loãng_xương nên ăn rau_muống không ?,O B-DISEASE O O B-FOOD O O
602,Bị thiếu máu nên ăn rau muống không?,Bị thiếu_máu nên ăn rau_muống không ?,O B-DISEASE O O B-FOOD O O
603,Bị tiểu đường nên ăn bắp cải không?,Bị tiểu_đường nên ăn bắp_cải không ?,O B-DISEASE O O B-FOOD O O
604,Bị tiểu đường nên ăn tôm không?,Bị tiểu_đường nên ăn tôm không ?,O B-DISEASE O O B-FOOD O O
605,Người tiểu đường nên bổ sung vitamin D không?,Người tiểu_đường nên bổ_sung vitamin_D không ?,O B-DISEASE O O B-NUTRIENT O O
606,Người gout nên bổ sung vitamin D không?,Người gout nên bổ_sung vitamin_D không ?,O B-DISEASE O O B-NUTRIENT O O
607,Người ung thư nên bổ sung protein không?,Người ung_thư nên bổ_sung protein không ?,O B-DISEASE O O B-NUTRIENT O O
608,Người ung thư nên bổ sung chất xơ không?,Người ung_thư nên bổ_sung chất_xơ không ?,O B-DISEASE O O B-NUTRIENT O O
609,Bị loãng xương có ăn đậu phụ được không?,Bị loãng_xương có ăn đậu_phụ được không ?,O B-DISEASE O O B-FOOD O O O
610,Bị huyết áp cao có ăn đậu phụ được không?,Bị huyết_áp_cao có ăn đậu_phụ được không ?,O B-DISEASE O O B-FOOD O O O
611,Bị gout có ăn yến mạch được không?,Bị gout có ăn yến_mạch được không ?,O B-DISEASE O O B-FOOD O O O
612,Bị gout có ăn gạo lứt được không?,Bị gout có ăn gạo_lứt được không ?,O B-DISEASE O O B-FOOD O O O
613,Người cholesterol cao nên giảm tinh bột không?,Người cholesterol_cao nên giảm tinh_bột không ?,O B-DISEASE O O B-NUTRIENT O O
614,Người ung thư nên giảm tinh bột không?,Người ung_thư nên giảm tinh_bột không ?,O B-DISEASE O O B-NUTRIENT O O
615,Người béo phì nên giảm chất xơ không?,Người béo_phì nên giảm chất_xơ không ?,O B-DISEASE O O B-NUTRIENT O O
616,Người béo phì nên giảm sắt không?,Người béo_phì nên giảm sắt không ?,O B-DISEASE O O B-NUTRIENT O O
617,Bị thiếu máu nên ăn yến mạch không?,Bị thiếu_máu nên ăn yến_mạch không ?,O B-DISEASE O O B-FOOD O O
618,Bị huyết áp cao nên ăn yến mạch không?,Bị huyết_áp_cao nên ăn yến_mạch không ?,O B-DISEASE O O B-FOOD O O
619,Bị cholesterol cao nên ăn chuối không?,Bị cholesterol_cao nên ăn chuối không ?,O B-DISEASE O O B-FOOD O O
620,Bị cholesterol cao nên ăn tôm không?,Bị cholesterol_cao nên ăn tôm không ?,O B-DISEASE O O B-FOOD O O
621,Người bị cholesterol cao có ăn thịt heo không?,Người bị cholesterol_cao có ăn thịt_heo không ?,O O B-DISEASE O O B-FOOD O O
622,Người bị gout có ăn thịt heo không?,Người bị gout có ăn thịt_heo không ?,O O B-DISEASE O O B-FOOD O O
623,Người bị tim mạch có ăn bắp cải không?,Người bị tim_mạch có ăn bắp_cải không ?,O O B-DISEASE O O B-FOOD O O
624,Người bị tim mạch có ăn bông cải xanh không?,Người bị tim_mạch có ăn bông_cải_xanh không ?,O O B-DISEASE O O B-FOOD O O
625,Dạ dày ăn bơ có được không?,dạ_dày ăn bơ có được không ?,B-DISEASE O B-FOOD O O O O
626,Gout ăn bơ có được không?,gout ăn bơ có được không ?,B-DISEASE O B-FOOD O O O O
627,Tiểu đường ăn cá hồi có được không?,Tiểu_đường ăn cá_hồi có được không ?,B-DISEASE O B-FOOD O O O O
628,Tiểu đường ăn sữa chua có được không?,Tiểu_đường ăn sữa_chua có được không ?,B-DISEASE O B-FOOD O O O O
629,Bị ung thư nên uống sữa không?,Bị ung_thư nên uống sữa không ?,O B-DISEASE O O B-FOOD O O
630,Bị tiểu đường nên uống sữa không?,Bị tiểu_đường nên uống sữa không ?,O B-DISEASE O O B-FOOD O O
631,Bị loãng xương nên uống thịt bò không?,Bị loãng_xương nên uống thịt_bò không ?,O B-DISEASE O O B-FOOD O O
632,Bị loãng xương nên uống hạt chia không?,Bị loãng_xương nên uống hạt_chia không ?,O B-DISEASE O O B-FOOD O O
633,Người bị cholesterol cao nên tránh thức ăn chua không?,Người bị cholesterol_cao nên tránh thức_ăn chua không ?,O O B-DISEASE O O O O O O
634,Người bị huyết áp cao nên tránh thức ăn chua không?,Người bị huyết_áp_cao nên tránh thức_ăn chua không ?,O O B-DISEASE O O O O O O
635,Bị thiếu máu nên ăn rau xanh không?,Bị thiếu_máu nên ăn rau_xanh không ?,O B-DISEASE O O B-FOOD O O
636,Bị dạ dày nên ăn rau xanh không?,Bị dạ_dày nên ăn rau_xanh không ?,O B-DISEASE O O B-FOOD O O
637,Bị gan nhiễm mỡ nên ăn tôm không?,Bị gan_nhiễm_mỡ nên ăn tôm không ?,O B-DISEASE O O B-FOOD O O
638,Bị gan nhiễm mỡ nên ăn khoai lang không?,Bị gan_nhiễm_mỡ nên ăn khoai_lang không ?,O B-DISEASE O O B-FOOD O O
639,Người loãng xương nên ăn thịt bò hay rau muống?,Người loãng_xương nên ăn thịt_bò hay rau_muống ?,O B-DISEASE O O B-FOOD O B-FOOD O
640,Người tiểu đường nên ăn thịt bò hay rau muống?,Người tiểu_đường nên ăn thịt_bò hay rau_muống ?,O B-DISEASE O O B-FOOD O B-FOOD O
641,Người thiếu máu nên ăn khoai lang hay rau muống?,Người thiếu_máu nên ăn khoai_lang hay rau_muống ?,O B-DISEASE O O B-FOOD O B-FOOD O
642,Người thiếu máu nên ăn cà rốt hay rau muống?,Người thiếu_máu nên ăn cà_rốt hay rau_muống ?,O B-DISEASE O O B-FOOD O B-FOOD O
643,Người thiếu máu nên ăn thịt bò hay ức gà?,Người thiếu_máu nên ăn thịt_bò hay ức_gà ?,O B-DISEASE O O B-FOOD O B-FOOD O
644,Người thiếu máu nên ăn thịt bò hay cà rốt?,Người thiếu_máu nên ăn thịt_bò hay cà_rốt ?,O B-DISEASE O O B-FOOD O B-FOOD O
645,Béo phì có ăn chuối được không?,béo_phì có ăn chuối được không ?,B-DISEASE O O B-FOOD O O O
646,Thiếu máu có ăn chuối được không?,thiếu_máu có ăn chuối được không ?,B-DISEASE O O B-FOOD O O O
647,Huyết áp cao có ăn táo được không?,Huyết_áp_cao có ăn táo được không ?,B-DISEASE O O B-FOOD O O O
648,Huyết áp cao có ăn bắp cải được không?,Huyết_áp_cao có ăn bắp_cải được không ?,B-DISEASE O O B-FOOD O O O
649,Bị ung thư nên hạn chế ăn gì?,Bị ung_thư nên hạn_chế ăn gì ?,O B-DISEASE O O O O O
650,Bị dạ dày nên hạn chế ăn gì?,Bị dạ_dày nên hạn_chế ăn gì ?,O B-DISEASE O O O O O
651,Người bị cholesterol cao có ăn trứng gà không?,Người bị cholesterol_cao có ăn trứng_gà không ?,O O B-DISEASE O O B-FOOD O O
652,Người bị béo phì có ăn trứng gà không?,Người bị béo_phì có ăn trứng_gà không ?,O O B-DISEASE O O B-FOOD O O
653,Người bị gout có ăn táo không?,Người bị gout có ăn táo không ?,O O B-DISEASE O O B-FOOD O O
654,Người bị gout có ăn gạo lứt không?,Người bị gout có ăn gạo_lứt không ?,O O B-DISEASE O O B-FOOD O O
655,Bị tiểu đường có ăn tôm không?,Bị tiểu_đường có ăn tôm không ?,O B-DISEASE O O B-FOOD O O
656,Bị ung thư có ăn tôm không?,Bị ung_thư có ăn tôm không ?,O B-DISEASE O O B-FOOD O O
657,Bị cholesterol cao có ăn cá hồi không?,Bị cholesterol_cao có ăn cá_hồi không ?,O B-DISEASE O O B-FOOD O O
658,Bị cholesterol cao có ăn thịt heo không?,Bị cholesterol_cao có ăn thịt_heo không ?,O B-DISEASE O O B-FOOD O O
659,Người loãng xương nên ăn ức gà không?,Người loãng_xương nên ăn ức_gà không ?,O B-DISEASE O O B-FOOD O O
660,Người tiểu đường nên ăn ức gà không?,Người tiểu_đường nên ăn ức_gà không ?,O B-DISEASE O O B-FOOD O O
661,Người béo phì nên ăn thịt bò không?,Người béo_phì nên ăn thịt_bò không ?,O B-DISEASE O O B-FOOD O O
662,Người béo phì nên ăn đậu xanh không?,Người béo_phì nên ăn đậu_xanh không ?,O B-DISEASE O O B-FOOD O O
663,Bị thiếu máu nên ăn thực phẩm nào tốt?,Bị thiếu_máu nên ăn thực_phẩm nào tốt ?,O B-DISEASE O O O O O O
664,Bị dạ dày nên ăn thực phẩm nào tốt?,Bị dạ_dày nên ăn thực_phẩm nào tốt ?,O B-DISEASE O O O O O O
665,Dạ dày cần bổ sung canxi từ sữa không?,dạ_dày cần bổ_sung canxi từ sữa không ?,B-DISEASE O O B-NUTRIENT O B-FOOD O O
666,Huyết áp cao cần bổ sung canxi từ sữa không?,huyết_áp_cao cần bổ_sung canxi từ sữa không ?,B-DISEASE O O B-NUTRIENT O B-FOOD O O
667,Loãng xương cần bổ sung protein từ sữa không?,Loãng_xương cần bổ_sung protein từ sữa không ?,B-DISEASE O O B-NUTRIENT O B-FOOD O O
668,Loãng xương cần bổ sung kẽm từ sữa không?,Loãng_xương cần bổ_sung kẽm từ sữa không ?,B-DISEASE O O B-NUTRIENT O B-FOOD O O
669,Loãng xương cần bổ sung canxi từ thịt bò không?,Loãng_xương cần bổ_sung canxi từ thịt_bò không ?,B-DISEASE O O B-NUTRIENT O B-FOOD O O
670,Loãng xương cần bổ sung canxi từ rau chân vịt không?,Loãng_xương cần bổ_sung canxi từ rau_chân_vịt không ?,B-DISEASE O O B-NUTRIENT O B-FOOD O O
671,Người bị cholesterol cao nên ăn bơ không?,Người bị cholesterol_cao nên ăn bơ không ?,O O B-DISEASE O O B-FOOD O O
672,Người bị gout nên ăn bơ không?,Người bị gout nên ăn bơ không ?,O O B-DISEASE O O B-FOOD O O
673,Người bị huyết áp cao nên ăn đậu xanh không?,Người bị huyết_áp_cao nên ăn đậu_xanh không ?,O O B-DISEASE O O B-FOOD O O
674,Người bị huyết áp cao nên ăn thịt bò không?,Người bị huyết_áp_cao nên ăn thịt_bò không ?,O O B-DISEASE O O B-FOOD O O
675,Bị cholesterol cao có ăn chuối được không?,Bị cholesterol_cao có ăn chuối được không ?,O B-DISEASE O O B-FOOD O O O
676,Bị loãng xương có ăn chuối được không?,Bị loãng_xương có ăn chuối được không ?,O B-DISEASE O O B-FOOD O O O
677,Bị dạ dày có ăn trứng gà được không?,Bị dạ_dày có ăn trứng_gà được không ?,O B-DISEASE O O B-FOOD O O O
678,Bị dạ dày có ăn đậu lăng được không?,Bị dạ_dày có ăn đậu_lăng được không ?,O B-DISEASE O O B-FOOD O O O
